Name,Station,Time(norwegian mean time),Mean air temperature (24 h)
Karasjok - Markannjarga,SN97251,17.12.2004,-2.3
Karasjok - Markannjarga,SN97251,18.12.2004,0
Karasjok - Markannjarga,SN97251,19.12.2004,-1.2
Karasjok - Markannjarga,SN97251,20.12.2004,-8.7
Karasjok - Markannjarga,SN97251,21.12.2004,-16.1
Karasjok - Markannjarga,SN97251,22.12.2004,-4.5
Karasjok - Markannjarga,SN97251,23.12.2004,-10.8
Karasjok - Markannjarga,SN97251,24.12.2004,-8.7
Karasjok - Markannjarga,SN97251,25.12.2004,-6
Karasjok - Markannjarga,SN97251,26.12.2004,-10
Karasjok - Markannjarga,SN97251,27.12.2004,-27.3
Karasjok - Markannjarga,SN97251,28.12.2004,-6.9
Karasjok - Markannjarga,SN97251,29.12.2004,-1.5
Karasjok - Markannjarga,SN97251,30.12.2004,-1.2
Karasjok - Markannjarga,SN97251,31.12.2004,-0.2
Karasjok - Markannjarga,SN97251,01.01.2005,-6.5
Karasjok - Markannjarga,SN97251,02.01.2005,-7.5
Karasjok - Markannjarga,SN97251,03.01.2005,-2.7
Karasjok - Markannjarga,SN97251,04.01.2005,-7.5
Karasjok - Markannjarga,SN97251,05.01.2005,-4.1
Karasjok - Markannjarga,SN97251,06.01.2005,-7.2
Karasjok - Markannjarga,SN97251,07.01.2005,-6.9
Karasjok - Markannjarga,SN97251,08.01.2005,-9.6
Karasjok - Markannjarga,SN97251,09.01.2005,-16.1
Karasjok - Markannjarga,SN97251,10.01.2005,-19.9
Karasjok - Markannjarga,SN97251,11.01.2005,-7.9
Karasjok - Markannjarga,SN97251,12.01.2005,-7.9
Karasjok - Markannjarga,SN97251,13.01.2005,-7.6
Karasjok - Markannjarga,SN97251,14.01.2005,-9.6
Karasjok - Markannjarga,SN97251,15.01.2005,-22.4
Karasjok - Markannjarga,SN97251,16.01.2005,-23.3
Karasjok - Markannjarga,SN97251,17.01.2005,-6.7
Karasjok - Markannjarga,SN97251,18.01.2005,1.4
Karasjok - Markannjarga,SN97251,19.01.2005,1.2
Karasjok - Markannjarga,SN97251,20.01.2005,-1.1
Karasjok - Markannjarga,SN97251,21.01.2005,-4.6
Karasjok - Markannjarga,SN97251,22.01.2005,-7.4
Karasjok - Markannjarga,SN97251,23.01.2005,-11.4
Karasjok - Markannjarga,SN97251,24.01.2005,-26
Karasjok - Markannjarga,SN97251,25.01.2005,-20.7
Karasjok - Markannjarga,SN97251,26.01.2005,-15.2
Karasjok - Markannjarga,SN97251,27.01.2005,-20.9
Karasjok - Markannjarga,SN97251,28.01.2005,-7.2
Karasjok - Markannjarga,SN97251,29.01.2005,-12.6
Karasjok - Markannjarga,SN97251,30.01.2005,-5.4
Karasjok - Markannjarga,SN97251,31.01.2005,-2.9
Karasjok - Markannjarga,SN97251,01.02.2005,-3.6
Karasjok - Markannjarga,SN97251,02.02.2005,-6.4
Karasjok - Markannjarga,SN97251,03.02.2005,-2.5
Karasjok - Markannjarga,SN97251,04.02.2005,-0.7
Karasjok - Markannjarga,SN97251,05.02.2005,-4.2
Karasjok - Markannjarga,SN97251,06.02.2005,-5.3
Karasjok - Markannjarga,SN97251,07.02.2005,-7.2
Karasjok - Markannjarga,SN97251,08.02.2005,-9.2
Karasjok - Markannjarga,SN97251,09.02.2005,-6.6
Karasjok - Markannjarga,SN97251,10.02.2005,-1.9
Karasjok - Markannjarga,SN97251,11.02.2005,-5.6
Karasjok - Markannjarga,SN97251,12.02.2005,-15.2
Karasjok - Markannjarga,SN97251,13.02.2005,-28.7
Karasjok - Markannjarga,SN97251,14.02.2005,-30.5
Karasjok - Markannjarga,SN97251,15.02.2005,-23.2
Karasjok - Markannjarga,SN97251,16.02.2005,-20.3
Karasjok - Markannjarga,SN97251,17.02.2005,-7.1
Karasjok - Markannjarga,SN97251,18.02.2005,-7.1
Karasjok - Markannjarga,SN97251,19.02.2005,-6.6
Karasjok - Markannjarga,SN97251,20.02.2005,-11
Karasjok - Markannjarga,SN97251,21.02.2005,-14.4
Karasjok - Markannjarga,SN97251,22.02.2005,-19.4
Karasjok - Markannjarga,SN97251,23.02.2005,-7.1
Karasjok - Markannjarga,SN97251,24.02.2005,-2.1
Karasjok - Markannjarga,SN97251,25.02.2005,-7.1
Karasjok - Markannjarga,SN97251,26.02.2005,-8.5
Karasjok - Markannjarga,SN97251,27.02.2005,-12.7
Karasjok - Markannjarga,SN97251,28.02.2005,-21.3
Karasjok - Markannjarga,SN97251,01.03.2005,-16.9
Karasjok - Markannjarga,SN97251,02.03.2005,-11.8
Karasjok - Markannjarga,SN97251,03.03.2005,-14.9
Karasjok - Markannjarga,SN97251,04.03.2005,-17.5
Karasjok - Markannjarga,SN97251,05.03.2005,-18.1
Karasjok - Markannjarga,SN97251,06.03.2005,-11.5
Karasjok - Markannjarga,SN97251,07.03.2005,-7.8
Karasjok - Markannjarga,SN97251,08.03.2005,-14.5
Karasjok - Markannjarga,SN97251,09.03.2005,-14.5
Karasjok - Markannjarga,SN97251,10.03.2005,-8
Karasjok - Markannjarga,SN97251,11.03.2005,-9.9
Karasjok - Markannjarga,SN97251,12.03.2005,-23.5
Karasjok - Markannjarga,SN97251,13.03.2005,-21.8
Karasjok - Markannjarga,SN97251,14.03.2005,-21.9
Karasjok - Markannjarga,SN97251,15.03.2005,-24.1
Karasjok - Markannjarga,SN97251,16.03.2005,-22.4
Karasjok - Markannjarga,SN97251,17.03.2005,-17.1
Karasjok - Markannjarga,SN97251,18.03.2005,-13
Karasjok - Markannjarga,SN97251,19.03.2005,-9
Karasjok - Markannjarga,SN97251,20.03.2005,-10
Karasjok - Markannjarga,SN97251,21.03.2005,-7
Karasjok - Markannjarga,SN97251,22.03.2005,-11.4
Karasjok - Markannjarga,SN97251,23.03.2005,-7.7
Karasjok - Markannjarga,SN97251,24.03.2005,1.3
Karasjok - Markannjarga,SN97251,25.03.2005,1
Karasjok - Markannjarga,SN97251,26.03.2005,-0.7
Karasjok - Markannjarga,SN97251,27.03.2005,-2.6
Karasjok - Markannjarga,SN97251,28.03.2005,-0.9
Karasjok - Markannjarga,SN97251,29.03.2005,-2.3
Karasjok - Markannjarga,SN97251,30.03.2005,2.8
Karasjok - Markannjarga,SN97251,31.03.2005,2.9
Karasjok - Markannjarga,SN97251,01.04.2005,2.1
Karasjok - Markannjarga,SN97251,02.04.2005,0.4
Karasjok - Markannjarga,SN97251,03.04.2005,-5.2
Karasjok - Markannjarga,SN97251,04.04.2005,1.5
Karasjok - Markannjarga,SN97251,05.04.2005,2.9
Karasjok - Markannjarga,SN97251,06.04.2005,0.6
Karasjok - Markannjarga,SN97251,07.04.2005,-2.2
Karasjok - Markannjarga,SN97251,08.04.2005,-1.2
Karasjok - Markannjarga,SN97251,09.04.2005,1.2
Karasjok - Markannjarga,SN97251,10.04.2005,0
Karasjok - Markannjarga,SN97251,11.04.2005,0.3
Karasjok - Markannjarga,SN97251,12.04.2005,0
Karasjok - Markannjarga,SN97251,13.04.2005,-2.7
Karasjok - Markannjarga,SN97251,14.04.2005,-4.4
Karasjok - Markannjarga,SN97251,15.04.2005,0.2
Karasjok - Markannjarga,SN97251,16.04.2005,-1.8
Karasjok - Markannjarga,SN97251,17.04.2005,-2.5
Karasjok - Markannjarga,SN97251,18.04.2005,-3.6
Karasjok - Markannjarga,SN97251,19.04.2005,-4.7
Karasjok - Markannjarga,SN97251,20.04.2005,-3.2
Karasjok - Markannjarga,SN97251,21.04.2005,-1.3
Karasjok - Markannjarga,SN97251,22.04.2005,-1.4
Karasjok - Markannjarga,SN97251,23.04.2005,2.5
Karasjok - Markannjarga,SN97251,24.04.2005,3.7
Karasjok - Markannjarga,SN97251,25.04.2005,3.6
Karasjok - Markannjarga,SN97251,26.04.2005,3.2
Karasjok - Markannjarga,SN97251,27.04.2005,1.3
Karasjok - Markannjarga,SN97251,28.04.2005,-0.9
Karasjok - Markannjarga,SN97251,29.04.2005,-1
Karasjok - Markannjarga,SN97251,30.04.2005,-1.8
Karasjok - Markannjarga,SN97251,01.05.2005,-1.7
Karasjok - Markannjarga,SN97251,02.05.2005,-3.3
Karasjok - Markannjarga,SN97251,03.05.2005,-1.2
Karasjok - Markannjarga,SN97251,04.05.2005,0.1
Karasjok - Markannjarga,SN97251,05.05.2005,-1.9
Karasjok - Markannjarga,SN97251,06.05.2005,-1.1
Karasjok - Markannjarga,SN97251,07.05.2005,0.9
Karasjok - Markannjarga,SN97251,08.05.2005,-0.6
